Notifications started.
73 03 6d 03 5d 00
71 03 6c 03 5d 00
Notifications stopped.
--- 2
Notifications started.
a3 03 9c 03 52 00
a2 03 9c 03 52 00
a5 03 9e 03 52 00
a6 03 9f 03 52 00
a7 03 a0 03 52 00
a4 03 9f 03 52 00
a7 03 a0 03 52 00
a6 03 a0 03 52 00
a5 03 9f 03 52 00
a7 03 a0 03 52 00
a6 03 a0 03 52 00
a5 03 9f 03 52 00
a7 03 a0 03 52 00
ab 03 a3 03 51 00
a9 03 a3 03 51 00
ab 03 a4 03 51 00
a9 03 a3 03 51 00
aa 03 a4 03 51 00
ac 03 a5 03 51 00
ab 03 a5 03 51 00
ab 03 a5 03 51 00
aa 03 a4 03 51 00
ab 03 a5 03 51 00
aa 03 a4 03 51 00
a7 03 a2 03 51 00
a7 03 a1 03 51 00
a7 03 a1 03 51 00
a9 03 a2 03 51 00
aa 03 a3 03 51 00
a8 03 a2 03 51 00
a8 03 a2 03 51 00
a8 03 a2 03 51 00
a9 03 a3 03 51 00
a9 03 a3 03 51 00
a9 03 a3 03 51 00
a9 03 a3 03 51 00
aa 03 a4 03 51 00
a7 03 a2 03 51 00
a4 03 a0 03 52 00
a4 03 9f 03 52 00
a4 03 9e 03 52 00
a3 03 9d 03 52 00
a1 03 9c 03 52 00
a3 03 9d 03 52 00
a2 03 9c 03 52 00
a3 03 9d 03 52 00
a3 03 9d 03 52 00
a3 03 9d 03 52 00
a6 03 9f 03 52 00
a4 03 9e 03 52 00
a3 03 9d 03 52 00
a5 03 9e 03 52 00
a3 03 9d 03 52 00
a1 03 9c 03 52 00
a2 03 9c 03 52 00
a3 03 9d 03 52 00
9f 03 9b 03 53 00
a1 03 9b 03 53 00
a3 03 9c 03 52 00
a3 03 9d 03 52 00
a2 03 9c 03 52 00
a3 03 9d 03 52 00
a0 03 9b 03 53 00
a2 03 9c 03 52 00
a3 03 9d 03 52 00
a5 03 9e 03 52 00
a2 03 9d 03 52 00
a3 03 9d 03 52 00
a5 03 9e 03 52 00
